iter	Passed	Remaining
0	27	27603
1	56	28439
2	84	28202
3	113	28298
4	144	28753
5	179	29777
6	206	29256
7	234	29084
8	263	28966
9	289	28614
10	315	28378
11	341	28086
12	365	27776
13	393	27703
14	419	27539
15	446	27430
16	472	27314
17	505	27572
18	532	27485
19	567	27831
20	594	27729
21	620	27604
22	648	27529
23	674	27420
24	701	27346
25	727	27255
26	754	27189
27	781	27116
28	808	27064
29	835	27015
30	862	26975
31	889	26915
32	917	26897
33	942	26773
34	970	26764
35	1004	26893
36	1041	27106
37	1087	27525
38	1113	27447
39	1139	27351
40	1166	27295
41	1194	27250
42	1222	27197
43	1255	27275
44	1284	27252
45	1311	27209
46	1339	27157
47	1379	27356
